City,Year,Week,Temp_Avg,Humidity_Avg,Rainfall_Total,Pressure_Avg,WindSpeed_Avg,Cases_Lag_1w,Cases_Lag_2w,Cases_Lag_3w,Temp_Avg_Lag_2w,Temp_Avg_Lag_3w,Rainfall_Total_Lag_2w,Rainfall_Total_Lag_3w,Week.1,Month,Population,Cases_Raw,Cases_Log,Week_Sin,Week_Cos,Monsoon
Faisalabad,2013,4,14.485714285714286,60.42857142857143,15.4,1014.1714285714286,5.242857142857143,0.0,0.0,0.0,17.12857142857143,15.7625,15.6,22.4,4,1,9074857,0,0.0,0.4647231720437685,0.8854560256532099,0
Faisalabad,2013,5,16.785714285714285,48.0,14.6,1014.3,5.042857142857143,0.0,0.0,0.0,14.514285714285716,17.12857142857143,11.0,15.6,5,2,9074857,0,0.0,0.5680647467311558,0.8229838658936564,0
Faisalabad,2013,6,16.571428571428573,47.57142857142857,7.800000000000001,1013.3857142857142,4.585714285714286,0.0,0.0,0.0,14.485714285714286,14.514285714285716,15.4,11.0,6,2,9074857,0,0.0,0.6631226582407952,0.7485107481711011,0
Faisalabad,2013,7,15.44285714285714,54.74285714285714,9.2,1015.2428571428572,4.871428571428572,0.0,0.0,0.0,16.785714285714285,14.485714285714286,14.6,15.4,7,2,9074857,0,0.0,0.7485107481711011,0.6631226582407953,0
Faisalabad,2013,8,17.271428571428572,60.457142857142856,8.3,1014.5714285714286,3.2285714285714286,0.0,0.0,0.0,16.571428571428573,16.785714285714285,7.800000000000001,14.6,8,2,9074857,0,0.0,0.8229838658936564,0.5680647467311558,0
Faisalabad,2013,9,21.157142857142855,56.48571428571428,20.2,1014.6714285714286,4.285714285714286,0.0,0.0,0.0,15.44285714285714,16.571428571428573,9.2,7.800000000000001,9,3,9074857,0,0.0,0.8854560256532098,0.4647231720437686,0
Faisalabad,2013,10,29.12857142857143,58.471428571428575,26.8,1014.6714285714286,4.428571428571429,0.0,0.0,0.0,17.271428571428572,15.44285714285714,8.3,9.2,10,3,9074857,0,0.0,0.9350162426854148,0.35460488704253557,0
Faisalabad,2013,11,27.714285714285715,62.31428571428571,18.4,1015.8,6.057142857142857,0.0,0.0,0.0,21.157142857142855,17.271428571428572,20.2,8.3,11,3,9074857,0,0.0,0.970941817426052,0.23931566428755804,0
Faisalabad,2013,12,26.37142857142857,57.8,23.1,1013.4714285714286,6.3999999999999995,0.0,0.0,0.0,29.12857142857143,21.157142857142855,26.8,20.2,12,3,9074857,0,0.0,0.992708874098054,0.120536680255323,0
Faisalabad,2013,13,27.457142857142856,51.81428571428571,21.7,1014.4857142857144,4.085714285714286,0.0,0.0,0.0,27.714285714285715,29.12857142857143,18.4,26.8,13,3,9074857,0,0.0,1.0,-1.6081226496766366e-16,0
Faisalabad,2013,14,29.271428571428572,54.18571428571429,15.8,1012.9,5.628571428571428,0.0,0.0,0.0,26.37142857142857,27.714285714285715,23.1,18.4,14,4,9074857,0,0.0,0.992708874098054,-0.12053668025532288,0
Faisalabad,2013,15,26.657142857142855,57.028571428571425,21.5,1015.0142857142856,5.1571428571428575,0.0,0.0,0.0,27.457142857142856,26.37142857142857,21.7,23.1,15,4,9074857,0,0.0,0.9709418174260521,-0.2393156642875575,0
Faisalabad,2013,16,27.157142857142855,57.614285714285714,17.8,1014.0428571428572,4.571428571428571,0.0,0.0,0.0,29.271428571428572,27.457142857142856,15.8,21.7,16,4,9074857,0,0.0,0.9350162426854148,-0.35460488704253545,0
Faisalabad,2013,17,27.514285714285712,54.98571428571428,30.8,1014.1857142857144,5.385714285714286,0.0,0.0,0.0,26.657142857142855,29.271428571428572,21.5,15.8,17,4,9074857,0,0.0,0.8854560256532099,-0.4647231720437685,0
Faisalabad,2013,18,27.485714285714288,60.285714285714285,19.7,1014.7285714285716,4.828571428571428,0.0,0.0,0.0,27.157142857142855,26.657142857142855,17.8,21.5,18,5,9074857,1,0.6931471805599453,0.8229838658936565,-0.5680647467311557,0
Faisalabad,2013,19,27.414285714285715,55.32857142857143,19.0,1016.2285714285716,5.028571428571429,1.0,0.0,0.0,27.514285714285712,27.157142857142855,30.8,17.8,19,5,9074857,0,0.0,0.7485107481711013,-0.6631226582407951,0
Faisalabad,2013,20,28.142857142857142,57.371428571428574,6.3,1014.4,4.914285714285714,0.0,1.0,0.0,27.485714285714288,27.514285714285712,19.7,30.8,20,5,9074857,0,0.0,0.6631226582407952,-0.7485107481711012,0
Faisalabad,2013,21,27.357142857142858,50.58571428571429,13.7,1015.1285714285714,5.671428571428572,0.0,0.0,1.0,27.414285714285715,27.485714285714288,19.0,19.7,21,5,9074857,1,0.6931471805599453,0.5680647467311558,-0.8229838658936564,0
Faisalabad,2013,22,31.428571428571427,50.44285714285714,21.8,1014.7285714285716,4.771428571428571,1.0,0.0,0.0,28.142857142857142,27.414285714285715,6.3,19.0,22,6,9074857,0,0.0,0.46472317204376906,-0.8854560256532096,0
Faisalabad,2013,23,37.885714285714286,39.371428571428574,19.5,1014.0714285714286,4.328571428571428,0.0,1.0,0.0,27.357142857142858,28.142857142857142,13.7,6.3,23,6,9074857,0,0.0,0.35460488704253584,-0.9350162426854147,0
Faisalabad,2013,24,38.114285714285714,52.357142857142854,11.6,1013.0857142857144,5.742857142857143,0.0,0.0,1.0,31.428571428571427,27.357142857142858,21.8,13.7,24,6,9074857,0,0.0,0.23931566428755768,-0.970941817426052,0
Faisalabad,2013,25,39.84285714285714,52.871428571428574,19.8,1017.4142857142856,4.985714285714286,0.0,0.0,0.0,37.885714285714286,31.428571428571427,19.5,21.8,25,6,9074857,0,0.0,0.12053668025532308,-0.992708874098054,0
Faisalabad,2013,26,37.271428571428565,52.028571428571425,22.0,1013.9571428571428,5.971428571428571,0.0,0.0,0.0,38.114285714285714,37.885714285714286,11.6,19.5,26,6,9074857,0,0.0,-3.216245299353273e-16,-1.0,0
Faisalabad,2013,27,36.82857142857143,50.285714285714285,40.3,1013.9285714285714,5.2,0.0,0.0,0.0,39.84285714285714,38.114285714285714,19.8,11.6,27,7,9074857,0,0.0,-0.12053668025532283,-0.992708874098054,1
Faisalabad,2013,28,36.1,58.871428571428574,47.8,1013.7428571428572,4.5285714285714285,0.0,0.0,0.0,37.271428571428565,39.84285714285714,22.0,19.8,28,7,9074857,0,0.0,-0.23931566428755743,-0.9709418174260521,1
Faisalabad,2013,29,39.92857142857143,59.10000000000001,68.1,1014.7857142857144,4.6000000000000005,0.0,0.0,0.0,36.82857142857143,37.271428571428565,40.3,22.0,29,7,9074857,0,0.0,-0.3546048870425356,-0.9350162426854148,1
Faisalabad,2013,30,37.51428571428572,50.75714285714286,33.1,1015.7571428571428,4.814285714285715,0.0,0.0,0.0,36.1,36.82857142857143,47.8,40.3,30,7,9074857,0,0.0,-0.46472317204376806,-0.8854560256532101,1
Faisalabad,2013,31,40.4,63.97142857142857,65.0,1014.2428571428572,5.7,0.0,0.0,0.0,39.92857142857143,36.1,68.1,47.8,31,8,9074857,0,0.0,-0.5680647467311556,-0.8229838658936565,1
Faisalabad,2013,32,37.65714285714286,40.92857142857143,28.0,1014.6714285714286,4.685714285714285,0.0,0.0,0.0,37.51428571428572,39.92857142857143,33.1,68.1,32,8,9074857,0,0.0,-0.663122658240795,-0.7485107481711013,1
Faisalabad,2013,33,37.1,55.7,61.3,1015.9428571428572,4.928571428571429,0.0,0.0,0.0,40.4,37.51428571428572,65.0,33.1,33,8,9074857,0,0.0,-0.7485107481711011,-0.6631226582407952,1
Faisalabad,2013,34,37.41428571428571,53.98571428571428,78.10000000000001,1015.6857142857144,5.757142857142857,0.0,0.0,0.0,37.65714285714286,40.4,28.0,65.0,34,8,9074857,0,0.0,-0.8229838658936564,-0.5680647467311559,1
Faisalabad,2013,35,34.642857142857146,44.51428571428572,63.2,1013.9857142857144,5.328571428571428,0.0,0.0,0.0,37.1,37.65714285714286,61.3,28.0,35,9,9074857,1,0.6931471805599453,-0.8854560256532096,-0.4647231720437691,1
Faisalabad,2013,36,23.957142857142856,55.82857142857143,64.0,1015.0714285714286,3.8285714285714287,1.0,0.0,0.0,37.41428571428571,37.1,78.10000000000001,61.3,36,9,9074857,0,0.0,-0.9350162426854147,-0.3546048870425359,1
Faisalabad,2013,37,23.414285714285715,64.10000000000001,52.2,1014.7714285714284,5.614285714285714,0.0,1.0,0.0,34.642857142857146,37.41428571428571,63.2,78.10000000000001,37,9,9074857,0,0.0,-0.970941817426052,-0.23931566428755774,1
Faisalabad,2013,38,24.614285714285717,50.98571428571428,51.3,1013.657142857143,5.628571428571428,0.0,0.0,1.0,23.957142857142856,34.642857142857146,64.0,63.2,38,9,9074857,1,0.6931471805599453,-0.992708874098054,-0.12053668025532357,1
Faisalabad,2013,39,24.014285714285712,51.98571428571428,47.5,1014.7285714285716,4.985714285714286,1.0,0.0,0.0,23.414285714285715,23.957142857142856,52.2,64.0,39,9,9074857,1,0.6931471805599453,-1.0,-1.8369701987210297e-16,1
Faisalabad,2013,40,23.7,54.957142857142856,24.8,1015.4571428571428,5.328571428571428,1.0,1.0,0.0,24.614285714285717,23.414285714285715,51.3,52.2,40,10,9074857,2,1.0986122886681098,-0.992708874098054,0.1205366802553232,1
Faisalabad,2013,41,24.32857142857143,62.7,7.699999999999999,1014.6714285714286,3.628571428571429,2.0,1.0,1.0,24.014285714285712,24.614285714285717,47.5,51.3,41,10,9074857,0,0.0,-0.9709418174260521,0.23931566428755738,1
